date,steps
2024-01-01,7823
2024-01-02,9245
2024-01-03,10567
2024-01-04,8934
2024-01-05,12034
2024-01-06,6521
2024-01-07,5432
2024-01-08,9876
2024-01-09,11234
2024-01-10,8765
2024-01-11,10890
2024-01-12,9456
2024-01-13,7234
2024-01-14,6890
2024-01-15,10234
2024-01-16,11567
2024-01-17,9012
2024-01-18,8456
2024-01-19,13456
2024-01-20,5678
2024-01-21,7890
2024-01-22,9876
2024-01-23,10543
2024-01-24,8765
2024-01-25,9234
2024-01-26,11098
2024-01-27,6543
2024-01-28,7123
2024-01-29,10456
2024-01-30,9876
2024-01-31,8765
